"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7T6XWWVU","book","2013","","Imágenes de la tecnología y la globalización en las literaturas hispánicas","","","","","http://www.ibero-americana.net/cgi-bin/infodetail.cgi?doknr=521750&lang=es&txt=einleitung","Imágenes de la tecnología y la globalización en las literaturas hispánicas / Jesús Montoya Juárez, Ángel Esteban del Campo (eds.) recoge una serie de estudios donde se reflexiona sobre las conexiones de la literatura con las nuevas tecnología y los medios de comunicación.   Compuesta por ensayos de especialistas como Jorge Carrión, Francisca Noguerol, Daniel Mesa Gancedo o Doménico Chiappe, entre otros, se abordan algunas pautas sobre la última narrativa en español, los textos en la nueva identidad digital y el hibridismo tecnológico en la literatura hispánica actual.","2013","2024-08-13 19:25:33","2024-08-13 19:25:33","","","284","","","","","","","","","","Iberoamericana - Vervuert","Madrid - Frankfurt","","","","","","","","00000 Citation Key: MontoyaJuarez.EstebandelCampo2013Imagenesa","","","","#nosource","","Montoya Juárez, Jesús; Esteban del Campo, Ángel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U47DWSX8","book","2019","Fry, Hannah","Hola mundo: cómo seguir siendo humanos en la era de los algoritmos","","978-84-17552-41-1","","","","","2019","2024-08-13 19:25:29","2024-08-13 19:25:29","","","","","","","","Hola mundo","","","","","","","Traducció de: Hello world : being human in the age of algorithms","","","","","Open WorldCat","","00000  OCLC: 1139473619 Citation Key: Fry2019Hola","","","","#nosource","","","","Ramos, Francisco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMTFPXJX","book","2015","","Textos, pixeles y bits.  Reflexiones sobre la publicación digital","","","","","http://www.iib.unam.mx/index.php/publicaciones?start=3","Este libro, publicado en formato digital ―utilizando, precisamente, los nuevos formatos de edición―, es una excelente muestra del análisis sobre los retos actuales que enfrenta la producción editorial en el cada vez más acelerado campo tecnológico.   El uso de las redes sociales y la llamada Web 2.0 han permitido la publicación, por los mismos usuarios, de una enorme cantidad de material digital, como novelas electrónicas, fotografías, ilustraciones y blogs, lo cual ha generado otros tipos de difusión de las distintas formas del saber. Atendiendo estas premisas, los estudios que componen la presente obra buscan responder ―de acuerdo con las palabras de Isabel Galina Russell, coordinadora del volumen― a los siguientes puntos: problematización y definición de publicación digital en el contexto del resguardo de patrimonio bibliográfico; uso de la digitalización para apoyar las tareas de preservación y difusión de materiales históricos; desarrollo de nuevos tipos de publicaciones, en particular las aplicaciones literarias para iPad; reflexión acerca de los retos y dificultades para la preservación de documentación personal digital; relación entre oralidad y escritura en el texto digital y el papel del archivo sonoro; derechos de autor y discusión relativa al deliberado balance entre los controles para la protección de la propiedad intelectual y la importancia del conocimiento abierto y el bien común.   En definitiva, los textos aquí reunidos, los cuales conforman una visión plural y multidisciplinaria, ponen sobre la mesa una temática tan interesante como necesaria.","2015","2024-08-13 19:25:22","2024-08-13 19:25:22","","","","","","","","","","","","","","","es","","","","","","","00000 Citation Key: GalinaRussell2015Textosa","","","","#nosource; Publicación digital","","Galina Russell, Isabel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPNV8TQR","book","2013","","Escritorios electrónicos para las literaturas: nuevas herramientas digitales para la anotación colaborativa","","","","","http://eprints.ucm.es/23805/1/LuisPabloNu%C3%B1ez_EscritoriosElectrLiteraturas.pdf","El volumen recoge un conjunto de estudios relativos a la interacción entre las Humanidades y las nuevas tecnologías. Llevados a cabo por profesores e investigadores de las universidades Complutense, UNED, Universidad Federal de Santa Catarina (Brasil) y Grupo Ciberimaginario-ICONO14, tratan aspectos tales como la creación de repositorios de objetos de aprendizaje, la construcción de museos virtuales, la recuperación de la información mediante agrupación en retículos y la anotación colaborativa sobre documentos digitales, especialmente literarios. Se añade una breve historia de las anotaciones, desde la Edad Media hasta nuestros días (smartphones y tabletas). El libro va dirigido a informáticos interesados en la creación de herramientas para las humanidades digitales y a filólogos que quieran introducir las TICs en la enseñanza de la literatura en el aula. Debido al Programa de Colaboración Interuniversitaria Hispano-Brasileño con cuya ayuda se ha publicado este libro, algunos de los textos que se recogen en esta obra están escritos en español y otros en portugués.","2013","2024-08-13 19:25:17","2024-08-13 19:25:17","","","","","","","","","","","","","Universidad Complutense de Madrid","Madrid","","","","","","","","00000 Citation Key: PabloNunez2013Escritorios","","","","#nosource","","Pablo Núñez, Luis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33W8TAUV","book","2004","Scolari, Carlos","Hacer clic. Hacia una sociosemiótica de las interacciones digitales","","","","","","","2004","2024-08-13 19:25:10","2024-08-13 19:25:10","","","253","","","","","","","","","","Gedisa","Barcelona","","","","","","","","00132 Citation Key: Scolari2004Hacera","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BX86UEX","book","2008","Scolari, Carlos","Hipermediaciones. Elementos para una Teoría de la Comunicación Digital Interactiva","","","","","","","2008","2024-08-13 19:25:04","2024-08-13 19:25:04","","","317","","","","","","","","","","Gedisa","Barcelona","","","","","","","","00209 Citation Key: Scolari2008Hipermediacionesa","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5MKX64GB","book","2009","","Teoría y literatura artística en la sociedad digital: construcción y aplicabilidad de colecciones textuales informatizadas","","978-84-9704-462-2","","","","Las reflexiones e investigaciones que se han volcado en las páginas de este libro se centran en un ámbito muy concreto del complejo campo de la cultura digital: el de las colecciones de textos digitales. Su objetivo es triple: en primer lugar, aportar nuevas contribuciones a los estudios sobre sociedad digital e historia del arte, especialmente en relación con el desarrollo de plataformas digitales diseñadas como sistemas de información con fines investigadores, esto es, para la producción de conocimiento; en segundo lugar, presentar los primeros resultados del proyecto Atenea-TTC, un proyecto de I+D perteneciente al Plan Nacional de Arte y Humanidades que se lleva ejecutando en distintas universidades españolas y en centros extranjeros desde el año 2006 bajo el título Desarrollo de un tesauro terminológico-conceptual (TTC) de los discursos teórico-artísticos españoles de la Edad Moderna y del corpus textual informatizado (Atenea); en tercer lugar, ofrecer un protocolo de buenas prácticas, útil para todos aquellos grupos de investigación que quieran acometer proyectos de naturaleza similar. La sociedad digital plantea nuevas exigencias que hay que tener en cuenta: estándares y metadatos, normalización terminológica, flujos de navegación, estrategias de preservación digital, visualización a través de una interfaz gráfica, necesidades de interoperabilidad… Todo un conjunto de factores que el especialista debe conocer para desarrollar proyectos artísticos digitales con garantías de éxito y perdurabilidad.","2009","2024-08-13 19:25:01","2024-08-13 19:25:01","","","432","","","","","","","","","","Ediciones Trea","Gijón","Spanish","","","","","","","ZSCC: NoCitationData[s0] Citation Key: RodriguezOrtega2009Teoria","","","","#nosource; Arte digital","","Rodríguez Ortega, Nuria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52HUI4SE","book","2014","","Humanidades Digitales: una aproximación transdisciplinar","","","","","http://www.janusdigital.es/fa/4656756780959093003595388/anexo2janus_completo_pub.pdf","","2014","2024-08-13 19:24:58","2024-08-13 19:24:58","","","","","","","","","","","","","SIELAE","A Coruña","","","","","","","","Citation Key: Baraibar2014Humanidades","","","","#nosource","","Baraibar, Álvaro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VR2RDNZ2","book","2005","Borràs, Laura; Adell, Joan-Elies; Calefato, Patrizia; Canadell, Roger; Koskimaa, Raine; Izquierdo, Oriol; Clara Moll, Isabel; Terranova, Tiziana; Ollé, Manel; Pajares Tosca, Susana; Pinto, Rafaele; Torras, Meri; Vuillemin, Alain","Textualidades electrónicas: nuevos escenarios para la literatura","","","","","","","2005","2024-08-13 19:24:50","2024-08-13 19:24:50","","","283","","","","","","","","","","Editorial UOC","Barcelona","","","","","","","","ZSCC: 0000043[s0] Citation Key: Borras.etal2005Textualidades","","","","#nosource; Hipertexto; Teoría","","Borràs, Laura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88R35QAX","book","2014","","Visibilidad y divulgación de la investigación desde las Humanidades Digitales. Experiencias y proyectos","","978-84-8081-412-6","","","http://www.unav.edu/publicacion/biblioteca-aurea-digital/BIADIG-22","El presente trabajo reúne iniciativas, proyectos y experiencias interesantes en los diferentes planos de este amplio contexto de la visibilidad y la difusión de la investigación en el ámbito de las Humanidades. En él se pone en común distintas experiencias, se comparte conocimientos y se da a conocer otras iniciativas, ya que en este campo de las Humanidades Digitales el valor ejemplarizante de los proyectos es muy importante. Así, el libro se ha organizado en cuatro áreas diferentes con su propia personalidad, pero vinculadas, como no podía ser de otro modo, entre sí: «Blogging académico, visibilidad y difusión de la investigación», «Revistas digitales», «Edición digital» y «Divulgación y Bibliotecas digitales».","2014","2024-08-13 19:24:47","2024-08-13 19:24:47","","","","","","","","","Biblioteca Áurea Digital","22","","","Servicio de Publicaciones de la Universidad de Navarra","","esp","","","","","","","00000 Citation Key: Baraibar2014Visibilidada","","","","#nosource; experiencias; humanidades digitales; proyectos","","Baraibar, Alvaro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
